id	name_tech	name_iso	how	colors_iso	colors_intersection	opacity_isos	opacity_intersection	shape	region_id	date	adresses	nb_adresses	id_location	time	jump	duration	step	simplify	excluded_modes	buffer_radar	around	origine_screen	only_overlay	only_buffer	buffer_times	buffer_opacity	buffer_color	buffer_contour_size	export_no_tiles	export_with_tiles	export_anim
iso_continu_ori			intersection	['#440154', '#404387', '#29788E', '#22A784', '#79D151', '#FDE724']	#ff0000	0.3	0.5	poly	fr-ne	2018-07-19	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille","20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq","10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	6		08:00	0	30	1	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//
iso_continu_no_ori			intersection	['#440154', '#404387', '#29788E', '#22A784', '#79D151', '#FDE724']	#ff0000	0.3	0.5	poly	fr-ne	2018-07-20	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille","20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq","10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	6		08:00	0	30	1	None	[]	0		0	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//
buffer_contour_ori			intersection	['#440154', '#404387', '#29788E', '#22A784', '#79D151', '#FDE724']	#ff0000	0.3	0.5	poly	fr-ne	2018-07-19	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille","20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq","10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	6		08:00	0	30	0	None	[]	0		1	0	1	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//
buffer_contour_ori			intersection	['#440154', '#404387', '#29788E', '#22A784', '#79D151', '#FDE724']	#ff0000	0.3	0.5	poly	fr-ne	2018-07-19	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille","20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq","10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	6		08:00	0	30	0	None	[]	0		1	0	1	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//
buffer_ori			intersection	['#440154', '#404387', '#29788E', '#22A784', '#79D151', '#FDE724']	#ff0000	0.3	0.5	poly	fr-ne	2018-07-19	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille","20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq","10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	6		08:00	0	30	0	None	[]	0		0	0	1	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.0,0.0,0.0", "0.0,0.0,0.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//
buffer_no_ori			intersection	['#440154', '#404387', '#29788E', '#22A784', '#79D151', '#FDE724']	#ff0000	0.3	0.5	poly	fr-ne	2018-07-19	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille","20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq","10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	6		08:00	0	30	0	None	[]	0		0	0	1	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.0,0.0,0.0", "0.0,0.0,0.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//
buffer_radar_ori			intersection	['#440154', '#404387', '#29788E', '#22A784', '#79D151', '#FDE724']	#ff0000	0.3	0.5	poly	fr-ne	2018-07-19	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille","20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq","10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	6		08:00	0	30	0	None	[]	1		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//
buffer_radar_no_ori			intersection	['#440154', '#404387', '#29788E', '#22A784', '#79D151', '#FDE724']	#ff0000	0.3	0.5	poly	fr-ne	2018-07-19	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille","20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq","10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	6		08:00	0	30	0	None	[]	1		0	1	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//
variation_heure_cumul_ori			intersection	['#440154', '#404387', '#29788E', '#22A784', '#79D151', '#FDE724']	#ff0000	0.3	0.5	poly	fr-ne	2018-07-19	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille","20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq","10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	6		08:00	60,2	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//
variation_heure_cumul_no_ori			intersection	['#440154', '#404387', '#29788E', '#22A784', '#79D151', '#FDE724']	#ff0000	0.3	0.5	poly	fr-ne	2018-07-19	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille","20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq","10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	6		08:00	60,2	30	0	None	[]	0		0	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//
variation_heure_overlay_ori			intersection	['#440154', '#404387', '#29788E', '#22A784', '#79D151', '#FDE724']	#ff0000	0.3	0.5	poly	fr-ne	2018-07-19	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille","20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq","10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	6		08:00	60,4	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//
variation_heure_overlay_no_ori			intersection	['#440154', '#404387', '#29788E', '#22A784', '#79D151', '#FDE724']	#ff0000	0.3	0.5	poly	fr-ne	2018-07-19	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille","20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq","10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	6		08:00	60,4	30	0	None	[]	0		0	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//
